customer_id,name,email,avatar_url,listing_id
1,Ryley Waters,Zetta.Cummings@gmail.com,http://placeimg.com/640/480,7
2,Mallory Steuber,Janae3@gmail.com,http://placeimg.com/640/480,1
3,Rogers Kilback,Gaston_Bahringer@yahoo.com,http://placeimg.com/640/480,2
4,Garrick Kerluke,Ottis60@yahoo.com,http://placeimg.com/640/480,1
5,Deborah Kutch,Flavio70@gmail.com,http://placeimg.com/640/480,5
6,Rosalia Pfeffer,Ramiro16@yahoo.com,http://placeimg.com/640/480,6
7,Frederik Bernier,Elias.Considine@gmail.com,http://placeimg.com/640/480,2
8,Katlyn Reinger,Abe_Satterfield@yahoo.com,http://placeimg.com/640/480,3
9,Gregoria Koelpin,Deangelo35@hotmail.com,http://placeimg.com/640/480,7
10,Andrew White,Xavier8@yahoo.com,http://placeimg.com/640/480,3
