review_id,customer_id,name,posting_date,text,cleanliness,communication,check_in,accuracy,location,value
1,1,Brennon Lynch,Wed Jan 01 2020 18:30:26 GMT-0800 (Pacific Standard Time),Velit molestiae fugit est reprehenderit provident. Qui alias sit nihil aut qui sunt et accusantium. At enim voluptatibus quasi totam quasi. Non consectetur facilis optio. Tempora qui dignissimos ipsa. Autem eos accusantium sed possimus officia et.,3,1,5,4,5,4
2,2,Dolores Heller,Fri Oct 16 2020 09:25:48 GMT-0700 (Pacific Daylight Time),Voluptas accusamus dolor nihil consectetur natus vel. Iusto libero quasi. Itaque eaque et iste voluptas laudantium quia molestiae voluptas. Maiores velit vitae velit nobis dolorem. Earum debitis at odit cumque ut illo illo maiores reprehenderit.,3,3,2,3,4,1
3,3,Armani Gusikowski,Thu Dec 12 2019 06:04:53 GMT-0800 (Pacific Standard Time),Et aut sint voluptatem nihil dolores vitae iusto consequatur libero. Perspiciatis error aut vel suscipit ipsam aliquam. Incidunt dolores et qui. Qui quis odio blanditiis aut.,4,3,2,1,1,2
4,4,Jeffrey Cummerata,Sat Sep 26 2020 02:42:56 GMT-0700 (Pacific Daylight Time),Quia in voluptatem provident aliquid asperiores est delectus. Qui voluptate quia.,4,4,4,4,3,1
5,5,Adolph Gaylord,Mon Jun 01 2020 07:23:23 GMT-0700 (Pacific Daylight Time),Quo libero consequatur autem numquam assumenda temporibus exercitationem dolores et. Aut distinctio et quas et vel ipsam inventore omnis assumenda. Eum reiciendis consequatur repellat minus voluptas. Voluptas fugit dolores est. Aliquid est eos quis deleniti ullam magnam aliquam voluptas veritatis.,2,3,3,4,4,4
6,6,Finn Jacobson,Sat Jan 11 2020 08:33:44 GMT-0800 (Pacific Standard Time),Quia id iste. Dolores non labore optio voluptas. Odio aspernatur rerum iste iure. Minus doloribus quisquam quas.,4,4,2,1,3,5
7,7,Ines Langosh,Mon Apr 06 2020 08:14:50 GMT-0700 (Pacific Daylight Time),Rerum assumenda error. Quis nisi nemo eum est delectus laboriosam illo. Quia ad ut eos quo accusamus consequatur quia. Quod voluptatem deserunt voluptatem. Possimus illum illum necessitatibus voluptas aliquid totam. Corporis necessitatibus quis qui et eum dolor quam error.,1,1,2,2,5,2
8,8,Ariel Marquardt,Wed Jan 08 2020 21:22:45 GMT-0800 (Pacific Standard Time),Repudiandae qui nisi dignissimos aut. Vel autem hic eum placeat natus. Nobis est asperiores atque itaque molestias ad saepe dolores eos. Est necessitatibus qui ut ipsa qui. Qui nisi iusto et sed et dolorem sit.,2,4,1,3,3,3
9,9,Giuseppe Grant,Sat Jul 18 2020 00:52:11 GMT-0700 (Pacific Daylight Time),Nihil quasi animi accusamus debitis non mollitia tenetur autem incidunt. Doloribus quia vel magnam iste aliquid rem labore magni eum. Et tenetur ipsa sunt qui eius autem eos quia. Dolores fuga officia et fugit. Quam qui rerum consectetur et sed nulla iste earum similique.,4,4,1,1,1,3
10,10,Antonia Roob,Sat Aug 29 2020 06:35:26 GMT-0700 (Pacific Daylight Time),Assumenda dolores ipsum quam minus optio at temporibus voluptatibus. Eaque nemo blanditiis repellat sequi.,4,4,2,2,2,4
