customer_id,name,email,avatar_url,listing_id
1,Amparo Feest,Hailie_Hagenes88@yahoo.com,http://placeimg.com/640/480,1
2,Delilah Johnson,Shyann_Rolfson88@yahoo.com,http://placeimg.com/640/480,8
3,Korey Hirthe,Carey27@hotmail.com,http://placeimg.com/640/480,3
4,Duane Yundt,Tiana.Carroll42@yahoo.com,http://placeimg.com/640/480,3
5,Talon Altenwerth,Waino_McGlynn@gmail.com,http://placeimg.com/640/480,9
6,Tianna Howell,Chasity4@yahoo.com,http://placeimg.com/640/480,5
7,Coty Howell,Annamarie_Kihn69@hotmail.com,http://placeimg.com/640/480,2
8,Newell Larson,Olga.Hamill@hotmail.com,http://placeimg.com/640/480,6
9,Tiffany Green,Brown.Yost@gmail.com,http://placeimg.com/640/480,9
10,Bradford Bruen,Kamryn_Torphy68@yahoo.com,http://placeimg.com/640/480,1
